baseline_id,training_mode,model,seed,max_epochs,batch_size,learning_rate,weight_decay,train_examples,validation_examples,test_examples,accuracy,f1,precision,recall,auc_roc,loss,best_validation_f1,best_validation_loss,best_epoch,convergence_epoch,total_epochs,runtime_sec
CB-D,centralised,distilbert,42,20,8,2.00E-05,0.01,4814,1032,1032,0.998062016,0.998062008,0.998069498,0.998062016,0.999346494,0.013418772,0.996123973,0.02417237,1,1,6,648.3
CB-T,centralised,tinybert,42,20,8,2.00E-05,0.01,4814,1032,1032,0.996124031,0.996124016,0.996131484,0.996124031,0.99839628,0.04081504,0.995154998,0.046446636,1,1,6,290.6
